                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     35,                0.88273,                0.75929,                 1.0662,                0.82043,                0.83285,                0.86282,                0.66237,                0.89245,                0.78988,                0.94239,               0.000948,               0.000948,               0.000948
                     36,                0.87644,                0.72543,                 1.0418,                0.79486,                0.82939,                 0.8435,                0.65534,                0.82109,                0.88887,                0.92702,             0.00093385,             0.00093385,             0.00093385
                     37,                0.86642,                 0.7449,                 1.0353,                0.82302,                0.85302,                0.86471,                0.67128,                0.82786,                 0.7768,                0.92839,              0.0009197,              0.0009197,              0.0009197
                     38,                0.84892,                 0.7111,                  1.032,                0.82656,                0.84567,                0.85279,                0.64891,                0.86753,                0.80953,                 0.9689,             0.00090556,             0.00090556,             0.00090556
                     39,                0.84732,                0.72278,                 1.0322,                 0.7941,                0.84457,                0.84363,                0.65665,                0.85162,                0.81105,                0.93148,             0.00089141,             0.00089141,             0.00089141
                     40,                0.84573,                0.71511,                 1.0326,                0.79837,                0.82996,                0.84995,                0.66199,                0.84059,                0.78896,                0.91729,             0.00087726,             0.00087726,             0.00087726
                     41,                0.85397,                0.71109,                 1.0276,                0.82996,                0.85809,                 0.8719,                 0.6589,                 0.8699,                0.76455,                0.94713,             0.00086312,             0.00086312,             0.00086312
                     42,                0.85822,                 0.7734,                 1.0322,                0.81297,                0.84539,                0.87503,                0.67422,                0.85196,                0.83972,                0.93675,             0.00084897,             0.00084897,             0.00084897
                     43,                0.83847,                0.69043,                  1.025,                0.81029,                 0.8611,                0.87761,                0.68633,                0.81044,                0.79133,                0.91567,             0.00083482,             0.00083482,             0.00083482
                     44,                0.83632,                0.70205,                 1.0295,                0.80766,                0.87882,                0.86153,                0.68169,                0.82888,                0.79549,                0.90373,             0.00082067,             0.00082067,             0.00082067
                     45,                0.83118,                0.69139,                 1.0209,                0.82411,                0.84977,                 0.8584,                0.66116,                0.84617,                  0.889,                0.94667,             0.00080653,             0.00080653,             0.00080653
                     46,                0.82564,                0.97149,                 1.0065,                0.80534,                0.88108,                 0.8554,                0.67006,                0.82388,                0.78448,                0.90984,             0.00079238,             0.00079238,             0.00079238
                     47,                0.82934,                0.68312,                 1.0249,                0.81996,                0.86909,                0.85566,                0.67299,                0.86273,                0.78723,                0.93417,             0.00077823,             0.00077823,             0.00077823
